date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:33:20	28745/28745	---M--	200	added ('OK')	text/html	etag:%227049-43a08dd40bf40%22	http://norvig.com/Lisp-retro.html	/Users/afa/myFiles/tmp/%e8%a7%a3%e5%86%b3%e6%af%8f%e4%b8%aa%e6%95%b0%e7%8b%ac%e9%9a%be%e9%a2%98/norvig.com/Lisp-retro.html	(from http://norvig.com/index.html)
20:33:28	9898/9898	---M--	200	added ('OK')	text/html	etag:%2226aa-3fc5b27dab4c0%22	http://norvig.com/performance-review.html	/Users/afa/myFiles/tmp/%e8%a7%a3%e5%86%b3%e6%af%8f%e4%b8%aa%e6%95%b0%e7%8b%ac%e9%9a%be%e9%a2%98/norvig.com/performance-review.html	(from http://norvig.com/index.html)
20:34:03	18118/18118	---M--	200	added ('OK')	text/html	etag:%2246c6-53e8ad48d6b00%22	http://norvig.com/palindrome.html	/Users/afa/myFiles/tmp/%e8%a7%a3%e5%86%b3%e6%af%8f%e4%b8%aa%e6%95%b0%e7%8b%ac%e9%9a%be%e9%a2%98/norvig.com/palindrome.html	(from http://norvig.com/index.html)
20:34:04	17572/17572	---M--	200	added ('OK')	text/html	etag:%2244a4-49d86c61fe480%22	http://norvig.com/ipod.html	/Users/afa/myFiles/tmp/%e8%a7%a3%e5%86%b3%e6%af%8f%e4%b8%aa%e6%95%b0%e7%8b%ac%e9%9a%be%e9%a2%98/norvig.com/ipod.html	(from http://norvig.com/index.html)
20:34:07	3886/3886	---M--	200	added ('OK')	text/html	etag:%22f2e-406d62972ccc0%22	http://norvig.com/Pugdom/index.html	/Users/afa/myFiles/tmp/%e8%a7%a3%e5%86%b3%e6%af%8f%e4%b8%aa%e6%95%b0%e7%8b%ac%e9%9a%be%e9%a2%98/norvig.com/Pugdom/index.html	(from http://norvig.com/index.html)
20:34:13	2985/2985	---M--	200	added ('OK')	text/html	etag:%22ba9-3cafe237c8900%22	http://norvig.com/ltd/doc/ltd.html	/Users/afa/myFiles/tmp/%e8%a7%a3%e5%86%b3%e6%af%8f%e4%b8%aa%e6%95%b0%e7%8b%ac%e9%9a%be%e9%a2%98/norvig.com/ltd/doc/ltd.html	(from http://norvig.com/index.html)
20:34:20	14194/14194	---M--	200	added ('OK')	text/html	etag:%223772-3ea5f64cbc300%22	http://norvig.com/docex.html	/Users/afa/myFiles/tmp/%e8%a7%a3%e5%86%b3%e6%af%8f%e4%b8%aa%e6%95%b0%e7%8b%ac%e9%9a%be%e9%a2%98/norvig.com/docex.html	(from http://norvig.com/index.html)
20:34:29	519/519	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Thu,%2025%20Apr%202013%2022:38:40%20GMT	http://norvig.com/docex.py	/Users/afa/myFiles/tmp/%e8%a7%a3%e5%86%b3%e6%af%8f%e4%b8%aa%e6%95%b0%e7%8b%ac%e9%9a%be%e9%a2%98/norvig.com/docex.py	(from http://norvig.com/index.html)
20:34:31	1871/1871	---M--	200	added ('OK')	text/html	etag:%2274f-3bf3b2ee70640%22	http://norvig.com/norvigs-law.html	/Users/afa/myFiles/tmp/%e8%a7%a3%e5%86%b3%e6%af%8f%e4%b8%aa%e6%95%b0%e7%8b%ac%e9%9a%be%e9%a2%98/norvig.com/norvigs-law.html	(from http://norvig.com/index.html)
20:34:33	16547/16547	---M--	200	added ('OK')	text/html	etag:%2240a3-41038016d5cc0%22	http://norvig.com/y10k.html	/Users/afa/myFiles/tmp/%e8%a7%a3%e5%86%b3%e6%af%8f%e4%b8%aa%e6%95%b0%e7%8b%ac%e9%9a%be%e9%a2%98/norvig.com/y10k.html	(from http://norvig.com/index.html)
